fips,pollutant,year,pred_wght,state_abbr,lat,lon
5117,co,2015,0.172352335,AR,34.85917376,-91.53626431
5119,co,2015,0.246202597,AR,34.77372027,-92.31162536
5121,co,2015,0.213695381,AR,36.30475594,-90.98840973
5123,co,2015,0.186749841,AR,35.01531307,-90.7703007
5125,co,2015,0.232829958,AR,34.59323368,-92.54617743
5127,co,2015,0.217421426,AR,34.9071437,-94.09593033
5129,co,2015,0.215699812,AR,35.92282954,-92.65918692
5131,co,2015,0.244696216,AR,35.31819736,-94.3544674
5133,co,2015,0.222142985,AR,34.01423491,-94.30412387
5135,co,2015,0.222877562,AR,36.17849159,-91.5201242
5137,co,2015,0.220485873,AR,35.85670315,-92.13701384
5139,co,2015,0.233429394,AR,33.20686623,-92.64511676
5141,co,2015,0.219724317,AR,35.567838,-92.42148981
5143,co,2015,0.230231208,AR,36.09427577,-94.17218333
5145,co,2015,0.22196001,AR,35.24373597,-91.76730258
5147,co,2015,0.161338181,AR,35.23319335,-91.25210397
5149,co,2015,0.219525035,AR,35.12098576,-93.28937544
6001,co,2015,0.329250297,CA,37.70520092,-122.1005369
6003,co,2015,0.282265283,CA,38.72830255,-119.8474349
6005,co,2015,0.224073623,CA,38.39420829,-120.7757048
6007,co,2015,0.224093507,CA,39.66903897,-121.7077635
6009,co,2015,0.252536764,CA,38.1636291,-120.6336571
6011,co,2015,0.202948079,CA,39.15615089,-122.0855797
6013,co,2015,0.267699768,CA,37.93558798,-122.0301419
6015,co,2015,0.23982967,CA,41.79122537,-124.1631649
6017,co,2015,0.263852912,CA,38.74654425,-120.7439437
6019,co,2015,0.274975938,CA,36.73891958,-119.7678196
6021,co,2015,0.218303822,CA,39.66341792,-122.1774729
6023,co,2015,0.244731318,CA,40.75298256,-124.0872206
6025,co,2015,0.281146417,CA,32.84110209,-115.5346051
6027,co,2015,0.227542038,CA,37.16024719,-118.2690139
6029,co,2015,0.259448731,CA,35.37296832,-118.9362103
6031,co,2015,0.236378121,CA,36.24275056,-119.7290257
6033,co,2015,0.267721248,CA,38.97336358,-122.7347462
6035,co,2015,0.290986517,CA,40.39239543,-120.5795827
6037,co,2015,0.394291408,CA,34.06519325,-118.2442963
6039,co,2015,0.236293732,CA,37.0430968,-120.0065809
6041,co,2015,0.289072107,CA,37.9867062,-122.5471051
6043,co,2015,0.248246388,CA,37.54274669,-119.9573434
6045,co,2015,0.245595288,CA,39.28532882,-123.3974936
6047,co,2015,0.238819085,CA,37.28101674,-120.623888
6049,co,2015,0.25438171,CA,41.52258385,-120.6511076
6051,co,2015,0.281045954,CA,37.76332203,-118.9714
6053,co,2015,0.260297925,CA,36.61172296,-121.6464533
